Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
320010205000001;1;3;55;51;21;21;15;8;4;1;45;440;27210;41737;27434;42600;52236;49500;34000;30000;224;179;305157;1;19;26;12;12;5;5;3;1;17;255;9570;19990;16230;24700;19700;31000;26000;30000;101;84;177445;2;36;25;9;9;10;3;1;0;28;185;17640;21747;11204;17900;32536;18500;8000;0;123;95;127712;3;55;51;21;21;15;8;4;1;45;440;27210;41737;27434;42600;52236;49500;34000;30000;224;179;305157;1;19;26;12;12;5;5;3;1;17;255;9570;19990;16230;24700;19700;31000;26000;30000;101;84;177445;2;36;25;9;9;10;3;1;0;28;185;17640;21747;11204;17900;32536;18500;8000;0;123;95;127712;
320010205000002;1;31;146;131;35;24;10;0;0;0;123;4868;72115;108013;46418;49360;35703;0;0;0;500;377;316477;15;72;78;20;15;6;0;0;0;36;2290;36040;63672;26841;30260;21448;0;0;0;242;206;180551;16;74;53;15;9;4;0;0;0;87;2578;36075;44341;19577;19100;14255;0;0;0;258;171;135926;31;146;131;35;24;10;0;0;0;123;4868;72115;108013;46418;49360;35703;0;0;0;500;377;316477;15;72;78;20;15;6;0;0;0;36;2290;36040;63672;26841;30260;21448;0;0;0;242;206;180551;16;74;53;15;9;4;0;0;0;87;2578;36075;44341;19577;19100;14255;0;0;0;258;171;135926;
320010205000003;1;105;368;162;33;12;16;2;1;1;299;14939;173684;123441;44549;23630;54100;13500;8000;15000;999;700;470843;31;190;98;18;4;11;1;1;1;131;5034;91054;74968;24352;8000;37300;7500;8000;15000;486;355;271208;74;178;64;15;8;5;1;0;0;168;9905;82630;48473;20197;15630;16800;6000;0;0;513;345;199635;105;320;159;33;12;16;2;1;1;297;14939;149665;120811;44549;23630;54100;13500;8000;15000;946;649;444194;31;164;96;18;4;11;1;1;1;130;5034;78215;73348;24352;8000;37300;7500;8000;15000;457;327;256749;74;156;63;15;8;5;1;0;0;167;9905;71450;47463;20197;15630;16800;6000;0;0;489;322;187445;
320010205000004;1;95;194;68;4;3;1;0;0;0;190;11142;89604;50146;5186;5240;2603;0;0;0;555;365;163921;23;93;40;4;3;0;0;0;0;105;2832;43246;30460;5186;5240;0;0;0;0;268;163;86964;72;101;28;0;0;1;0;0;0;85;8310;46358;19686;0;0;2603;0;0;0;287;202;76957;95;194;68;4;3;1;0;0;0;190;11142;89604;50146;5186;5240;2603;0;0;0;555;365;163921;23;93;40;4;3;0;0;0;0;105;2832;43246;30460;5186;5240;0;0;0;0;268;163;86964;72;101;28;0;0;1;0;0;0;85;8310;46358;19686;0;0;2603;0;0;0;287;202;76957;
320010205000005;1;16;164;112;31;14;10;2;1;0;177;2393;78144;89370;41241;28590;35590;12000;8000;0;527;350;295328;7;71;66;23;10;8;2;1;0;68;1097;34260;52556;30510;20840;28390;12000;8000;0;256;188;187653;9;93;46;8;4;2;0;0;0;109;1296;43884;36814;10731;7750;7200;0;0;0;271;162;107675;16;163;112;31;14;10;2;1;0;173;2393;77634;89370;41241;28590;35590;12000;8000;0;522;349;294818;7;71;66;23;10;8;2;1;0;66;1097;34260;52556;30510;20840;28390;12000;8000;0;254;188;187653;9;92;46;8;4;2;0;0;0;107;1296;43374;36814;10731;7750;7200;0;0;0;268;161;107165;
320010205000006;1;32;164;88;30;16;17;2;0;0;166;4989;80278;70420;39971;33239;59800;13500;0;0;515;349;302197;8;71;47;18;7;12;2;0;0;78;1340;34913;38096;24402;14400;40900;13500;0;0;243;165;167551;24;93;41;12;9;5;0;0;0;88;3649;45365;32324;15569;18839;18900;0;0;0;272;184;134646;32;164;88;30;16;17;2;0;0;166;4989;80278;70420;39971;33239;59800;13500;0;0;515;349;302197;8;71;47;18;7;12;2;0;0;78;1340;34913;38096;24402;14400;40900;13500;0;0;243;165;167551;24;93;41;12;9;5;0;0;0;88;3649;45365;32324;15569;18839;18900;0;0;0;272;184;134646;
320010205000007;1;24;138;67;12;18;13;0;1;0;95;4045;67177;54866;17130;36755;44258;0;8500;0;368;273;232731;11;74;29;9;10;8;0;1;0;28;1913;36340;23368;13470;20100;26156;0;8500;0;170;142;129847;13;64;38;3;8;5;0;0;0;67;2132;30837;31498;3660;16655;18102;0;0;0;198;131;102884;24;138;67;12;18;13;0;1;0;95;4045;67177;54866;17130;36755;44258;0;8500;0;368;273;232731;11;74;29;9;10;8;0;1;0;28;1913;36340;23368;13470;20100;26156;0;8500;0;170;142;129847;13;64;38;3;8;5;0;0;0;67;2132;30837;31498;3660;16655;18102;0;0;0;198;131;102884;
320010205000008;1;10;97;69;51;52;39;4;5;1;94;2040;47747;56798;69289;107073;140614;24200;42900;15000;422;328;505661;3;36;34;24;29;20;2;4;0;42;575;17960;28700;33299;59500;70905;11200;34900;0;194;152;257039;7;61;35;27;23;19;2;1;1;52;1465;29787;28098;35990;47573;69709;13000;8000;15000;228;176;248622;10;96;69;50;52;37;4;5;1;81;2040;47237;56798;67789;107073;133279;24200;42900;15000;405;324;496316;3;35;34;23;29;18;2;4;0;29;575;17450;28700;31799;59500;63570;11200;34900;0;177;148;247694;7;61;35;27;23;19;2;1;1;52;1465;29787;28098;35990;47573;69709;13000;8000;15000;228;176;248622;
320010205000009;1;30;221;133;44;27;19;2;2;0;180;5360;108168;108581;62194;54238;66770;12033;16000;0;658;478;433344;8;103;64;22;10;11;1;1;0;77;1605;50280;52028;30664;19575;39400;6000;8000;0;297;220;207552;22;118;69;22;17;8;1;1;0;103;3755;57888;56553;31530;34663;27370;6033;8000;0;361;258;225792;30;221;133;44;27;19;2;2;0;180;5360;108168;108581;62194;54238;66770;12033;16000;0;658;478;433344;8;103;64;22;10;11;1;1;0;77;1605;50280;52028;30664;19575;39400;6000;8000;0;297;220;207552;22;118;69;22;17;8;1;1;0;103;3755;57888;56553;31530;34663;27370;6033;8000;0;361;258;225792;
320010205000010;1;42;153;98;25;22;9;4;0;0;126;5880;73682;79874;33822;45379;32400;23760;0;0;479;353;294797;13;73;54;16;14;8;3;0;0;40;1992;35313;44264;21460;29170;27700;17340;0;0;221;181;177239;29;80;44;9;8;1;1;0;0;86;3888;38369;35610;12362;16209;4700;6420;0;0;258;172;117558;42;152;98;25;22;9;4;0;0;126;5880;73172;79874;33822;45379;32400;23760;0;0;478;352;294287;13;72;54;16;14;8;3;0;0;40;1992;34803;44264;21460;29170;27700;17340;0;0;220;180;176729;29;80;44;9;8;1;1;0;0;86;3888;38369;35610;12362;16209;4700;6420;0;0;258;172;117558;
